,DEPARTURES_PERFORMED,PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,AIRCRAFT_TYPE,MONTH
0,0,0,2970,B6,JetBlue Airways,B6,JetBlue Airways,12051,GYE,12478,JFK,694,4
1,0,0,1574,B6,JetBlue Airways,B6,JetBlue Airways,12693,KIN,12478,JFK,699,4
2,0,0,1574,B6,JetBlue Airways,B6,JetBlue Airways,12478,JFK,12693,KIN,699,4
3,0,0,126,9K,Cape Air,9K,Cape Air,10444,AXA,15024,STT,125,5
4,0,0,126,9K,Cape Air,9K,Cape Air,15024,STT,10444,AXA,125,5
5,0,0,436,YX,Republic Airline,YX,Republic Airline,13930,ORD,16271,YYZ,673,2
6,0,0,436,YX,Republic Airline,YX,Republic Airline,16271,YYZ,13930,ORD,673,2
7,0,0,1250,B6,JetBlue Airways,B6,JetBlue Airways,10721,BOS,13605,NAS,678,3
8,0,0,126,9K,Cape Air,9K,Cape Air,10444,AXA,15024,STT,125,4
9,0,0,126,9K,Cape Air,9K,Cape Air,15024,STT,10444,AXA,125,4
10,0,0,9242,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,11433,DTW,12001,GTB,626,1
11,0,0,9779,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10185,AEX,12001,GTB,626,1
12,0,0,9779,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,12001,GTB,10185,AEX,626,1
13,0,0,9347,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,12478,JFK,12001,GTB,626,1
14,0,0,9242,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,11433,DTW,12001,GTB,622,1
15,0,0,9779,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,12001,GTB,10185,AEX,622,1
16,0,0,362,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,16078,YHM,12478,JFK,622,1
17,0,0,362,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,12478,JFK,16078,YHM,622,1
18,0,0,9242,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,11433,DTW,12001,GTB,888,1
19,0,0,9779,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10185,AEX,12001,GTB,888,1
20,0,0,9451,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10821,BWI,12001,GTB,888,1
21,0,0,9779,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,12001,GTB,10185,AEX,888,1
22,0,0,9768,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,12001,GTB,10397,ATL,888,1
23,0,0,9242,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,11433,DTW,12001,GTB,698,1
24,0,0,9779,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,12001,GTB,10185,AEX,698,1
25,0,0,9659,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,14492,RDU,12001,GTB,698,1
26,0,0,9347,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,12478,JFK,12001,GTB,698,1
27,0,0,9779,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,12001,GTB,10185,AEX,694,1
28,0,0,9217,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10721,BOS,12001,GTB,694,1
29,0,0,9779,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,12001,GTB,10185,AEX,699,1
30,0,0,9768,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10397,ATL,12001,GTB,699,1
31,0,0,9779,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,12001,GTB,10185,AEX,359,1
32,0,0,9768,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10397,ATL,12001,GTB,359,1
33,0,0,1881,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,10821,BWI,10411,AUA,838,1
34,0,0,1881,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,10411,AUA,10821,BWI,838,1
35,0,0,9779,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10185,AEX,12001,GTB,614,2
36,0,0,9347,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,12001,GTB,12478,JFK,614,2
37,0,0,1646,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,14293,PUJ,10721,BOS,699,2
