,DEPARTURES_PERFORMED,PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,AIRCRAFT_TYPE,MONTH
56,1,143,6584,AA,American Airlines Inc.,AA,American Airlines Inc.,15258,TLV,11697,FLL,627,2
60,1,159,746,AA,American Airlines Inc.,AA,American Airlines Inc.,13303,MIA,14207,POP,614,2
62,1,127,556,AA,American Airlines Inc.,AA,American Airlines Inc.,13303,MIA,11244,CZM,614,2
67,1,169,746,AA,American Airlines Inc.,AA,American Airlines Inc.,14207,POP,13303,MIA,614,2
70,1,43,2390,AA,American Airlines Inc.,AA,American Airlines Inc.,14832,SJD,11618,EWR,614,2
71,1,159,2184,AA,American Airlines Inc.,AA,American Airlines Inc.,14832,SJD,12264,IAD,614,2
72,1,61,2539,AA,American Airlines Inc.,AA,American Airlines Inc.,11888,GEO,12478,JFK,614,2
78,1,5,1514,AA,American Airlines Inc.,AA,American Airlines Inc.,12693,KIN,14100,PHL,698,2
79,1,113,1298,AA,American Airlines Inc.,AA,American Airlines Inc.,10846,BZE,11057,CLT,698,2
82,1,103,1028,AA,American Airlines Inc.,AA,American Airlines Inc.,11032,CUN,11298,DFW,698,2
83,1,35,1514,AA,American Airlines Inc.,AA,American Airlines Inc.,14100,PHL,12693,KIN,698,2
84,1,53,1030,AA,American Airlines Inc.,AA,American Airlines Inc.,14100,PHL,13605,NAS,698,2
88,1,123,1030,AA,American Airlines Inc.,AA,American Airlines Inc.,13605,NAS,14100,PHL,698,2
90,1,81,1064,AA,American Airlines Inc.,AA,American Airlines Inc.,11057,CLT,14153,PLS,694,2
91,1,127,1468,AA,American Airlines Inc.,AA,American Airlines Inc.,11032,CUN,14100,PHL,694,2
92,1,131,1468,AA,American Airlines Inc.,AA,American Airlines Inc.,14100,PHL,11032,CUN,694,2
93,1,133,875,AA,American Airlines Inc.,AA,American Airlines Inc.,11298,DFW,13594,MZT,694,2
94,1,83,1064,AA,American Airlines Inc.,AA,American Airlines Inc.,14153,PLS,11057,CLT,694,2
95,1,147,2608,AA,American Airlines Inc.,AA,American Airlines Inc.,13303,MIA,12986,LIM,699,2
96,1,189,531,AA,American Airlines Inc.,AA,American Airlines Inc.,13303,MIA,11032,CUN,699,2
104,1,137,1075,AA,American Airlines Inc.,AA,American Airlines Inc.,11244,CZM,11057,CLT,699,2
107,1,221,2659,AA,American Airlines Inc.,AA,American Airlines Inc.,11298,DFW,12051,GYE,627,2
109,1,139,1381,AA,American Airlines Inc.,AA,American Airlines Inc.,14293,PUJ,11057,CLT,838,2
110,1,167,524,AA,American Airlines Inc.,AA,American Airlines Inc.,13303,MIA,13180,MBJ,838,2
111,1,51,767,AA,American Airlines Inc.,AA,American Airlines Inc.,13303,MIA,10846,BZE,838,2
112,1,113,767,AA,American Airlines Inc.,AA,American Airlines Inc.,10846,BZE,13303,MIA,838,2
113,1,159,1748,AA,American Airlines Inc.,AA,American Airlines Inc.,11057,CLT,14838,SJO,838,2
114,1,97,1748,AA,American Airlines Inc.,AA,American Airlines Inc.,14838,SJO,11057,CLT,838,2
118,1,173,1760,AA,American Airlines Inc.,AA,American Airlines Inc.,11032,CUN,14107,PHX,721,2
119,1,185,1911,AA,American Airlines Inc.,AA,American Airlines Inc.,14100,PHL,10411,AUA,721,2
120,1,183,1760,AA,American Airlines Inc.,AA,American Airlines Inc.,14107,PHX,11032,CUN,721,2
121,1,231,1506,AA,American Airlines Inc.,AA,American Airlines Inc.,13303,MIA,10711,BOG,637,2
122,1,197,1506,AA,American Airlines Inc.,AA,American Airlines Inc.,10711,BOG,13303,MIA,637,2
127,1,187,7260,CX,Cathay Pacific Airways Ltd.,CX,Cathay Pacific Airways Ltd.,12143,HKG,12892,LAX,637,2
133,1,3,3411,2UQ,Svenskt Industriflyg AB,2UQ,Svenskt Industriflyg AB,16646,OXF,15167,TEB,775,1
